Timestamp,Place,Region,Country,Continent,Current Temp (°C),Feels Like Temp (°C),Condition
2024-09-02 19:08:00,Berlin,Berlin,Germany,Europe/Berlin,26.0,26.4,Sunny
2024-09-02 19:08:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,20.4,20.4,Patchy rain nearby
2024-09-02 18:09:00,Lagos,Lagos,Nigeria,Africa/Lagos,30.4,37.0,Partly cloudy
2024-09-02 18:08:00,Ichida,Anambra,Nigeria,Africa/Lagos,25.7,28.4,Patchy rain nearby
2024-09-02 19:14:00,Berlin,Berlin,Germany,Europe/Berlin,26.0,26.4,Sunny
2024-09-02 19:14:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,20.4,20.4,Patchy rain nearby
2024-09-02 18:14:00,Lagos,Lagos,Nigeria,Africa/Lagos,30.4,37.0,Partly cloudy
2024-09-02 18:14:00,Ichida,Anambra,Nigeria,Africa/Lagos,25.7,28.4,Patchy rain nearby
2024-09-02 19:19:00,Berlin,Berlin,Germany,Europe/Berlin,26.3,26.7,Sunny
2024-09-02 19:19:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,20.4,20.4,Patchy rain nearby
2024-09-02 18:19:00,Lagos,Lagos,Nigeria,Africa/Lagos,28.0,31.5,Partly cloudy
2024-09-02 18:19:00,Ichida,Anambra,Nigeria,Africa/Lagos,25.7,28.4,Patchy rain nearby
2024-09-02 19:24:00,Berlin,Berlin,Germany,Europe/Berlin,26.3,26.7,Sunny
2024-09-02 19:24:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,20.4,20.4,Patchy rain nearby
2024-09-02 18:24:00,Lagos,Lagos,Nigeria,Africa/Lagos,28.0,31.5,Partly cloudy
2024-09-02 18:24:00,Ichida,Anambra,Nigeria,Africa/Lagos,25.7,28.4,Patchy rain nearby
2024-09-02 19:29:00,Berlin,Berlin,Germany,Europe/Berlin,26.3,26.7,Sunny
2024-09-02 19:29:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,20.4,20.4,Patchy rain nearby
2024-09-02 18:29:00,Lagos,Lagos,Nigeria,Africa/Lagos,28.0,31.5,Partly cloudy
2024-09-02 18:29:00,Ichida,Anambra,Nigeria,Africa/Lagos,25.7,28.4,Patchy rain nearby
2024-09-02 19:34:00,Berlin,Berlin,Germany,Europe/Berlin,24.3,25.2,Sunny
2024-09-02 19:34:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,20.4,20.4,Patchy rain nearby
2024-09-02 18:34:00,Lagos,Lagos,Nigeria,Africa/Lagos,28.3,32.1,Partly cloudy
2024-09-02 18:34:00,Ichida,Anambra,Nigeria,Africa/Lagos,25.7,28.4,Patchy rain nearby
2024-09-02 19:39:00,Berlin,Berlin,Germany,Europe/Berlin,24.3,25.2,Sunny
2024-09-02 19:39:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,20.4,20.4,Patchy rain nearby
2024-09-02 18:39:00,Lagos,Lagos,Nigeria,Africa/Lagos,28.3,32.1,Partly cloudy
2024-09-02 18:39:00,Ichida,Anambra,Nigeria,Africa/Lagos,25.7,28.4,Patchy rain nearby
2024-09-02 19:44:00,Berlin,Berlin,Germany,Europe/Berlin,24.3,25.2,Sunny
2024-09-02 19:44:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,20.4,20.4,Patchy rain nearby
2024-09-02 18:44:00,Lagos,Lagos,Nigeria,Africa/Lagos,28.3,32.1,Partly cloudy
2024-09-02 18:44:00,Ichida,Anambra,Nigeria,Africa/Lagos,25.7,28.4,Patchy rain nearby
2024-09-02 19:49:00,Berlin,Berlin,Germany,Europe/Berlin,24.1,25.1,Sunny
2024-09-02 19:49:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,20.4,20.4,Patchy rain nearby
2024-09-02 18:49:00,Lagos,Lagos,Nigeria,Africa/Lagos,28.3,32.1,Partly cloudy
2024-09-02 18:49:00,Ichida,Anambra,Nigeria,Africa/Lagos,25.7,28.4,Patchy rain nearby
2024-09-02 20:04:00,Berlin,Berlin,Germany,Europe/Berlin,24.0,25.2,Clear
2024-09-02 20:04:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,19.5,19.6,Sunny
2024-09-02 19:04:00,Lagos,Lagos,Nigeria,Africa/Lagos,28.0,31.9,Partly cloudy
2024-09-02 19:04:00,Ichida,Anambra,Nigeria,Africa/Lagos,24.5,26.9,Patchy rain nearby
2024-09-02 20:09:00,Berlin,Berlin,Germany,Europe/Berlin,24.0,25.2,Clear
2024-09-02 20:09:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,19.5,19.6,Sunny
2024-09-02 19:09:00,Lagos,Lagos,Nigeria,Africa/Lagos,28.0,31.9,Partly cloudy
2024-09-02 19:09:00,Ichida,Anambra,Nigeria,Africa/Lagos,24.5,26.9,Patchy rain nearby
2024-09-02 20:24:00,Berlin,Berlin,Germany,Europe/Berlin,23.3,24.9,Clear
2024-09-02 20:24:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,19.5,19.6,Sunny
2024-09-02 19:24:00,Lagos,Lagos,Nigeria,Africa/Lagos,27.2,30.4,Partly cloudy
2024-09-02 19:24:00,Ichida,Anambra,Nigeria,Africa/Lagos,24.5,26.9,Patchy rain nearby
2024-09-02 20:29:00,Berlin,Berlin,Germany,Europe/Berlin,23.3,24.9,Clear
2024-09-02 20:29:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,19.5,19.6,Sunny
2024-09-02 19:29:00,Lagos,Lagos,Nigeria,Africa/Lagos,27.2,30.4,Partly cloudy
2024-09-02 19:29:00,Ichida,Anambra,Nigeria,Africa/Lagos,24.5,26.9,Patchy rain nearby
2024-09-02 20:34:00,Berlin,Berlin,Germany,Europe/Berlin,22.2,24.5,Clear
2024-09-02 20:34:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,19.5,19.6,Sunny
2024-09-02 19:34:00,Lagos,Lagos,Nigeria,Africa/Lagos,27.4,30.7,Partly cloudy
2024-09-02 19:34:00,Ichida,Anambra,Nigeria,Africa/Lagos,24.5,26.9,Patchy rain nearby
2024-09-02 20:39:00,Berlin,Berlin,Germany,Europe/Berlin,22.2,24.5,Clear
2024-09-02 20:39:00,Pforzheim,Baden-Wurttemberg,Germany,Europe/Berlin,19.5,19.6,Sunny
2024-09-02 19:39:00,Lagos,Lagos,Nigeria,Africa/Lagos,27.4,30.7,Partly cloudy
2024-09-02 19:39:00,Ichida,Anambra,Nigeria,Africa/Lagos,24.5,26.9,Patchy rain nearby
